"Name";"n_Bewertungen";"Preiskat";"Adresse";"Stadtteil";"Kat1";"Kat2";"Kat3";"Kat4";"lat";"long"
"Sodexo Restaurant";1;NA;"Karl-Liebknecht-Str. 29";"Mitte";"Mensa & Kantine";NA;NA;NA;52.5249406;13.4124556
"Kantine Rathaus Kreuzberg";16;"€";"Yorckstr. 4-11";"Kreuzberg";"Mensa & Kantine";NA;NA;NA;52.4936644;13.3850855
"The Jivamukti Canteen";3;NA;"Brunnenstr. 29";"Mitte";"Vegan";"Mensa & Kantine";NA;NA;52.534476;13.3986033
"Husseria";0;NA;"Am Friedrichshain 22";"Prenzlauer Berg";"Mensa & Kantine";NA;NA;NA;52.5295268;13.4285084
"Hofküche R19";0;NA;"Rungestr. 19";"Mitte";"Deutsch";"Frühstück & Brunch";"Mensa & Kantine";NA;52.5123433;13.4200963
"KuK";0;NA;"Niederkirchnerstr. 5";"Mitte";"Mensa & Kantine";NA;NA;NA;52.50757;13.38128
"Wandel";27;"€";"Bernhard-Weiß-Str. 6";"Mitte";"Mensa & Kantine";"International";NA;NA;52.5235029;13.4159691
"Cafeteria im Otto-Suhr-Suhr-Institut";1;"€";"Ihnestr. 21";"Zehlendorf";"Mensa & Kantine";NA;NA;NA;52.4491558;13.2771618
"Zoo-Restaurant";18;"€€€";"Budapester Str. 34";"Tiergarten";"Deutsch";"Mensa & Kantine";NA;NA;52.5057999;13.3389057
"Madinina délice créole";16;"€€";"Warschauer Str. 12";"Friedrichshain";"Karibisch";NA;NA;NA;52.5132387;13.4525667
"RosaCaleta";69;"€€";"Muskauer Str. 9";"Kreuzberg";"Karibisch";"Modern-Europäisch";"Lounge";NA;52.5012871;13.4322135
"Oktay Evren";1;NA;"Gitschiner Str. 32";"Kreuzberg";"Brathähnchen & Broiler";NA;NA;NA;52.49826;13.4067001
"Knackis - Chicken hinter Gittern";4;NA;"Simon-Dach-Str. 37";"Friedrichshain";"Brathähnchen & Broiler";NA;NA;NA;52.5103775;13.4567494
"Chicken House";19;NA;"Westphalweg";"Tempelhof";"Brathähnchen & Broiler";NA;NA;NA;52.4455691;13.3908001
"Kümes Chickenhouse";5;"€";"Berlinickestr. 16";"Steglitz";"Brathähnchen & Broiler";NA;NA;NA;52.4558131;13.3233491
"RISA Chicken";14;NA;"Schönhauser Allee 45";"Prenzlauer Berg";"Brathähnchen & Broiler";NA;NA;NA;52.5408573;13.4125605
"Risa Chicken";9;"€";"Müllerstr. 30";"Wedding";"Brathähnchen & Broiler";"Halal";NA;NA;52.5476136;13.3575715
"Happy Chicken King";1;NA;"Silbersteinstr. 54";"Neukölln";"Fast Food";"Brathähnchen & Broiler";"Halal";NA;52.4667652;13.4332981
"Hot Grill";1;NA;"Lausannerstr. 81";"Steglitz";"Döner & Kebab";"Brathähnchen & Broiler";"Currywurst";NA;52.4269283;13.3033724
"Elit Chicken";2;"€";"Karl-Marx-Str. 109";"Neukölln";"Döner & Kebab";"Brathähnchen & Broiler";NA;NA;52.4787403;13.4380426
"Alzad Crispy Chicken";1;NA;"Potsdamer Str. 138";"Schöneberg";"Brathähnchen & Broiler";"Halal";NA;NA;52.4984052;13.3618956
"Ilker";0;NA;"Buckower Damm 86";"Britz";"Döner & Kebab";"Burger";"Brathähnchen & Broiler";NA;52.435828;13.4346753
"City House";12;"€";"Sonnenallee 73";"Reuterkiez";"Burger";"Brathähnchen & Broiler";NA;NA;52.4841712;13.4356559
"Grenzlos Asia Gourmet";4;"€";"Krokusstr. 87";"Neukölln";"Vietnamesisch";"Asiatisch";"Brathähnchen & Broiler";NA;52.4208144;13.4940603
"KFC";25;"€€";"Dircksenstr. 117";"Mitte";"Fast Food";"Chicken Wings";"Brathähnchen & Broiler";NA;52.5206493;13.4128278
"KFC";18;"€€";"Gatower Str. 56";"Spandau";"Fast Food";"Chicken Wings";"Brathähnchen & Broiler";NA;52.5165046;13.1846345
"KFC";19;"€€";"Mariendorfer Damm 292";"Tempelhof";"Fast Food";"Chicken Wings";"Brathähnchen & Broiler";NA;52.4267883;13.3933796
"Chicken Buzz";18;"€€";"Rosenthaler Str. 71";"Mitte";"Chicken Wings";NA;NA;NA;52.5290346;13.4020638
"crêpestation";94;"€";"Pappelallee 58";"Prenzlauer Berg";"Crêpes";NA;NA;NA;52.5463351;13.4176593
"Melt Caramel";39;"€";"Grünbergerstr. 40";"Friedrichshain";"Café";"Französisch";"Crêpes";NA;52.5120641;13.4538959
"Crêplala";7;"€";"Kantstr. 85A";"Charlottenburg";"Crêpes";"Café";"Französisch";NA;52.5067036;13.2959925
"Cassonade";67;"€€";"Oranienstr. 199";"Kreuzberg";"Crêpes";"Waffeln";NA;NA;52.4999243;13.4238447
"Mr.Croissant";1;NA;"Carl-Schurz-Str. 27";"Spandau";"Crêpes";"Café";NA;NA;52.5367701;13.2022992
"La Bigoudène";19;"€€";"Zionskirchstr. 28";"Mitte";"Crêpes";"Frühstück & Brunch";NA;NA;52.5343565;13.4029619
"Suzette";26;"€€";"Pappelallee 15";"Prenzlauer Berg";"Crêpes";"Café";NA;NA;52.5430652;13.4148661
"Glücklich am Park";50;"€";"Kastanienallee 54";"Mitte";"Crêpes";"Café";NA;NA;52.5334489;13.4042064
"Crepes";2;NA;"Reichenberger Str.";"Kreuzberg";"Crêpes";NA;NA;NA;52.4963027;13.427781
"Bar Amalia";2;"€";"Selkestr. 27";"Neukölln";"Bar";"Café";"Crêpes";NA;52.4701441;13.4368274
"cafè & crèperia";13;"€€";"Alt-Rudow 12";"Neukölln";"Café";"Crêpes";NA;NA;52.4207077;13.4908441
"Cafe & Creperie";4;"€€";"Propststr. 4";"Mitte";"Crêpes";"Café";"Frühstück & Brunch";NA;52.5169432;13.4068703
"Glutanada";9;"€€";"Nostitzstr. 33";"Bergmannkiez";"Glutenfrei";"Vegan";"Crêpes";NA;52.489136;13.3901863
"ShakePoint Ali";11;"€";"Pannierstr. 6";"Reuterkiez";"Crêpes";"Café";NA;NA;52.4866348;13.4310786
"Crepes Bretonnes";1;NA;"Wochenmarkt";"Charlottenburg";"Crêpes";NA;NA;NA;52.5077261;13.3098155
"Café Adèle";7;"€€";"Bundesallee 142";"Schöneberg";"Eisdiele & Frozen Yogurt";"Café";"Crêpes";NA;52.4770969;13.3289417
"Top In";1;NA;"Reichenbergerstr. 175";"Kreuzberg";"Crêpes";NA;NA;NA;52.4997653;13.4175705
"Le Bretagne";5;NA;"Karl-Schrader-Str. 1";"Schöneberg";"Crêpes";"Café";NA;NA;52.49185;13.35097
"Lachmann’s";10;"€";"Petersburger Platz 4";"Friedrichshain";"Waffeln";"Crêpes";"Frühstück & Brunch";NA;52.5212913;13.4496958
"Café Dougga";0;NA;"Gneisenaustr. 24";"Bergmannkiez";"Café";"Crêpes";"Konditorei";NA;52.4911344;13.3949099
"BubblyBy";1;"€€€€";"Reichenberger Str. 175";"Kreuzberg";"Crêpes";NA;NA;NA;52.4997653;13.4175705
"Kahrmann’s Own";37;"€";"Bötzowstr. 21";"Prenzlauer Berg";"Café";"Eisdiele & Frozen Yogurt";"Crêpes";NA;52.53106;13.4327101
"Roka Bell";1;NA;"Ohlauer Str. 27";"Kreuzberg";"Café";"Crêpes";NA;NA;52.4952768;13.4302498
"Waffeleisen";9;"€";"Simon-Dach-Str. 6";"Friedrichshain";"Waffeln";"Crêpes";NA;NA;52.5114582;13.4567297
"Choco Kebab";1;NA;"Mehringplatz 36";"Kreuzberg";"Crêpes";NA;NA;NA;52.4983671;13.392064
"Schöne&dasBiest";0;NA;"Mainzer Str. 20";"Friedrichshain";"Waffeln";"Eisdiele & Frozen Yogurt";"Crêpes";NA;52.5134904;13.4626687
"MiLette";0;NA;"Togostr. 4";"Wedding";"Eisdiele & Frozen Yogurt";"Crêpes";NA;NA;52.5495623;13.3478648
"Bokuse";0;NA;"Uhlandstr. 156";"Wilmersdorf";"Crêpes";"Suppe & Eintopf";"Kleine Gerichte";NA;52.4983891;13.3247217
"QBA";50;"€€";"Oranienburger Str. 45";"Mitte";"Kubanisch";NA;NA;NA;52.5259176;13.3898183
"Casita de Cuba";1;NA;"Oranienburger Str. 32";"Mitte";"Kubanisch";NA;NA;NA;52.5253603;13.3938946
"Curry Wolf";1;NA;"Unter den Linden 77";"Mitte";"Currywurst";NA;NA;NA;52.5156672;13.3800591
"Curry Mitte";78;"€";"Torstr. 122";"Mitte";"Currywurst";NA;NA;NA;52.5294329;13.4013343
"Curry at the Wall";25;"€";"Zimmerstr. 97";"Mitte";"Currywurst";NA;NA;NA;52.5076741;13.3867386
"Curry-Weide";7;"€";"Wilhelminenhofstr. 16a";"Köpenick";"Currywurst";NA;NA;NA;52.4625831;13.5144562
"Bergmann Curry";80;"€";"Bergmannstr. 88";"Bergmannkiez";"Currywurst";NA;NA;NA;52.489343;13.3935502
"Curry Land Imbiss";10;"€";"Romain-Rolland-Str. 25";"Weißensee";"Currywurst";NA;NA;NA;52.5639032;13.4449326
"CurryWEST";1;NA;"Wiesbadener Str. 53";"Wilmersdorf";"Currywurst";NA;NA;NA;52.4734443;13.3022778
"Curry & Fritz";4;"€";"Hermann-Blankenstein-Str. 38";"Prenzlauer Berg";"Currywurst";NA;NA;NA;52.523736;13.4621243
"Ziervogels Kult-Curry";47;"€";"Schönhauser Allee 20";"Prenzlauer Berg";"Currywurst";NA;NA;NA;52.5331815;13.4132219
"Krasselts Currywurst";7;"€";"Hildegardstr. 17";"Wilmersdorf";"Fast Food";"Currywurst";NA;NA;52.4819845;13.3210878
"Curry Station";3;"€€";"Teltower Damm 35";"Zehlendorf";"Currywurst";NA;NA;NA;52.4315941;13.2596133
"Currywurst Dörpfeldstraße Nr.1";1;NA;"Dörpfeldstr. 1";"Treptow";"Currywurst";NA;NA;NA;52.43531;13.54197
"Det is Knorke Alt-Berliner Currywurst-Variationen";6;"€€";"Kaiser-Wilhelm-Str. 6";"Steglitz";"Currywurst";NA;NA;NA;52.4303255;13.3330431
"Marian’s Imbiss Lichtenblau";19;"€";"Waidmannsluster Damm 18";"Reinickendorf";"Currywurst";NA;NA;NA;52.5957091;13.2909585
"Bier’s Mini 7";13;"€€";"Kantstr. 7";"Charlottenburg";"Fast Food";"Currywurst";NA;NA;52.505558;13.3304166
"Currystation 36";13;"€";"Otto-Suhr-Allee 36";"Charlottenburg";"Currywurst";"Fast Food";NA;NA;52.5150921;13.3148693
"Curry Wolf";35;"€";"Rankestr. 36";"Wilmersdorf";"Currywurst";NA;NA;NA;52.5038983;13.3356678
"Heike’s Holzkohlengrill";1;NA;"Lichtenrader Damm 12";"Tempelhof";"Currywurst";NA;NA;NA;52.4131997;13.4016095
"Maximilian";17;"€";"Mariendorfer Damm 292a";"Tempelhof";"Currywurst";"Fast Food";NA;NA;52.4265713;13.3939177
"Langes Imbiss";3;"€";"Hasenheide 1-4";"Kreuzberg";"Currywurst";NA;NA;NA;52.4873112;13.4241375
"Krasselts Imbiss";131;"€";"Steglitzer Damm 22";"Steglitz";"Currywurst";"Fast Food";NA;NA;52.4507254;13.3395679
"Curry One";1;NA;"Mühlenstr. 78";"Friedrichshain";"Currywurst";NA;NA;NA;52.5028426;13.4456895
"Jörg’s Curry Container";16;"€";"Hranitzkystr. 15";"Tempelhof";"Currywurst";NA;NA;NA;52.422029;13.3713858
"Berliner Currywurst";0;NA;"Kuhligkshofstr. 2 - 10";"Steglitz";"Currywurst";NA;NA;NA;52.4563046;13.321404
"Konnopke";28;"€";"Mahlerstr. 3";"Weißensee";"Currywurst";NA;NA;NA;52.5484388;13.4531418
"Würstl - Stand";1;"€€";"Boyenallee 1";"Charlottenburg";"Currywurst";NA;NA;NA;52.5079299;13.2583148
"Curry Tempel";4;NA;"Tempelhofer Damm 188";"Tempelhof";"Currywurst";"Burger";NA;NA;52.4599624;13.3842669
"Curry Schmiede";1;NA;"Landsberger Str. 9";"Hellersdorf";"Currywurst";NA;NA;NA;52.5076216;13.6196753
"Big Curry Haus";1;"€";"Fritz-Erler-Allee 173";"Neukölln";"Currywurst";"Fast Food";NA;NA;52.4259583;13.4771449
"Curry 55";1;NA;"Streitstr. 55";"Spandau";"Currywurst";NA;NA;NA;52.5621715;13.2082217
"Curry B.";3;"€";"Prenzlauer Allee 242";"Prenzlauer Berg";"Currywurst";NA;NA;NA;52.5304742;13.417072
"Curry-Kiste";14;"€€";"Westphalweg";"Tempelhof";"Currywurst";NA;NA;NA;52.4455691;13.3908001
"Curry Paule";23;"€";"Britzer Damm 120";"Britz";"Currywurst";NA;NA;NA;52.4520534;13.4381521
"Engel’s Imbiss";10;"€€€";"Fehrbelliner Platz";"Wilmersdorf";"Currywurst";NA;NA;NA;52.4911414;13.3149045
"Virchow-Imbiss";8;"€€";"Augustenburger Platz 1";"Wedding";"Fast Food";"Currywurst";NA;NA;52.5412085;13.3442044
"Curry Schmidt";1;"€";"Rudower Str. 13";"Neukölln";"Currywurst";NA;NA;NA;52.44208;13.4576
"Friedrich’s Currywurst & Hühner";4;"€€";"Revaler Str. 2";"Friedrichshain";"Fast Food";"Currywurst";NA;NA;52.5091076;13.4499237
"Checkpoint Curry";3;NA;"Georgenstr. 14";"Mitte";"Currywurst";NA;NA;NA;52.5199385;13.3878203
"Curry & Pizza";4;"€";"Rochstr. 14E";"Mitte";"Fast Food";"Currywurst";"Pizza";NA;52.5225608;13.4088827
"Bötzow Baude";4;"€";"Radelandstr. 131";"Spandau";"Currywurst";"Deutsch";NA;NA;52.5608636;13.171675
"Currywurst Express";1;NA;"Seegefelder Str.1";"Spandau";"Currywurst";NA;NA;NA;52.534836;13.1959674
"Curry König";0;NA;"Max-Dohrn-Str. 5a";"Charlottenburg";"Currywurst";NA;NA;NA;52.5310267;13.3009951
"Maximilian";1;NA;"Juliusstr. 18";"Neukölln";"Currywurst";"Fast Food";NA;NA;52.4639;13.43839
"Grill Profi";1;"€";"Sterndamm 29-35";"Treptow";"Currywurst";"Asiatisch";NA;NA;52.4510998;13.5094101
"Currywurst Nr 1";2;NA;"Dörpfeldstr. 5";"Treptow";"Currywurst";NA;NA;NA;52.4357807;13.5427456
"Curry Eck";3;"€";"Wochenmarkt";"Kreuzberg";"Currywurst";NA;NA;NA;52.5077261;13.3098155
"Curry 124";2;"€";"Potsdamer Str. 124";"Schöneberg";"Fast Food";"Currywurst";NA;NA;52.4994169;13.3623482
"Curryimbiss U-Bhf Breitenbachplatz";6;"€€";"Breitenbachplatz";"Zehlendorf";"Currywurst";NA;NA;NA;52.4669384;13.3086661
"Flottenimbiss";2;NA;"Flottenstr. 4a";"Reinickendorf";"Currywurst";NA;NA;NA;52.57835;13.34841
"Curry Imbiss";8;"€";"Romain-Rolland-Str. 25";"Weißensee";"Fast Food";"Currywurst";NA;NA;52.5639032;13.4449326
"Curry 1";2;"€€";"Kottbusser Damm 1";"Kreuzberg";"Currywurst";NA;NA;NA;52.4953595;13.4200989
"Berliner Curry Company";1;"€";"Bahnhofstr. 9";"Tempelhof";"Currywurst";NA;NA;NA;52.3868327;13.4054826
"Curry Eck";6;"€€";"Residenzstr. 35";"Reinickendorf";"Imbisswagen & Food Truck";"Currywurst";NA;NA;52.5667637;13.361974
"Fleischerei Mischke";14;"€€";"Schönhauser Allee 144";"Prenzlauer Berg";"Currywurst";"Metzgerei & Fleischerei";"Catering & Partyservice";NA;52.5412429;13.4117056
"Curry & Burger Maximilian";2;NA;"Hasenheide 107";"Neukölln";"Imbiss";"Currywurst";"Asiatisch";NA;52.4864182;13.421531
"Wurstpate";9;"€";"Michaelkirchstraße";"Mitte";"Currywurst";"Hot Dog";NA;NA;52.5097742;13.4211895
"Easy Rider";0;NA;"Rosemeyerweg";"Zehlendorf";"Currywurst";"Fast Food";NA;NA;52.4328974;13.1908919
"Oberdorfer Krug";1;"€€";"Torweg 156";"Spandau";"Currywurst";NA;NA;NA;52.5408213;13.1302891
"Curry Island";2;NA;"Großbeerenstr. 82";"Tempelhof";"Currywurst";NA;NA;NA;52.4975955;13.3851696
"Mr. Imbiss";1;NA;"Alt-Mahlsdorf 24";"Hellersdorf";"Imbisswagen & Food Truck";"Burger";"Currywurst";NA;52.505379;13.609815
"Curry 126";6;"€";"Wilmersdorfer Str. 126";"Charlottenburg";"Currywurst";NA;NA;NA;52.5097846;13.3062637
"King’s Snack";3;"€€€€";"Ludolfinger Platz 1-3";"Reinickendorf";"Currywurst";NA;NA;NA;52.6324602;13.2890363
"muttis futterbude";0;NA;"Gross-Berliner Damm 75";"Treptow";"Currywurst";NA;NA;NA;52.4446196;13.5175507
"Checkpoint Curry 207";5;NA;"Friedrichstr. 207/208";"Kreuzberg";"Deutsch";"Currywurst";NA;NA;52.5070104;13.3902658
"Curry Paule";2;NA;"Buckower Damm 7 - 9";"Britz";"Currywurst";"Imbisswagen & Food Truck";NA;NA;52.44378;13.43463
"Bratwurststüble";0;NA;"Wilmersdorfer Str. 62";"Charlottenburg";"Currywurst";NA;NA;NA;52.5070037;13.3062888
"Prime Kebap";8;"€";"Lindenallee 28";"Charlottenburg";"Döner & Kebab";"Currywurst";NA;NA;52.5106188;13.2715867
"imbiss";1;NA;"Grenzallee 22";"Neukölln";"Currywurst";NA;NA;NA;52.4669454;13.4572221
"Hauptstadt-Curry";5;"€€";"Naumburger Str. 33";"Neukölln";"Fast Food";"Currywurst";"Imbiss";NA;52.466479;13.4480479
"essBar ! by M&M";6;"€";"Goerzallee 189-223";"Steglitz";"Currywurst";NA;NA;NA;52.4165223;13.2888684
"Essen & Trinken";1;NA;"Bayreuther Str. 8";"Schöneberg";"Currywurst";"Imbisswagen & Food Truck";NA;NA;52.5020631;13.3442687
"Apffelstaedt Erich Imbiss";0;NA;"Henriettenplatz 1";"Wilmersdorf";"Deutsch";"Fast Food";"Currywurst";NA;52.4967952;13.2909797
"Zum Flotten Imbiss";0;NA;"Flottenstr. 4a";"Reinickendorf";"Currywurst";NA;NA;NA;52.57835;13.34841
"Curry & Burger Neue Welt";0;"€";"Hasenheide 108";"Neukölln";"Fast Food";"Currywurst";"Burger";NA;52.4867992;13.4215379
"Curry-Treff am Händelplatz";0;NA;"Händelplatz 1Y";"Steglitz";"Currywurst";NA;NA;NA;52.450154;13.3162796
"Echte Berliner Fischcurrywurst";1;NA;"Grosse Hamburger Str. 21";"Mitte";"Currywurst";NA;NA;NA;52.524181;13.3992844
"Bar Resi";6;"€";"Stendaler Str.2";"Tiergarten";"Kneipe";"Currywurst";NA;NA;52.5328777;13.3496912
"Oris Currystand";2;"€€";"Hanne-Sobek-Platz";"Wedding";"Currywurst";NA;NA;NA;52.5488493;13.3880022
"Ta Panta Ri";23;"€€";"Düsseldorfer Str. 75";"Wilmersdorf";"Griechisch";"Zypriotisch";NA;NA;52.494971;13.3246078
"Erntezeit";1;NA;"Pallasstr. 35";"Schöneberg";"Smoothies & Saftbar";"Deli";NA;NA;52.4941803;13.3602285
"Rose Garden";26;"€€";"Alte Schönhauser Str. 61";"Mitte";"Frühstück & Brunch";"Deli";NA;NA;52.52857;13.409463
"La Mezcla";3;NA;"Hedwigstr. 1";"Schöneberg";"Lateinamerikanisch";"Deutsch";"Deli";NA;52.4713484;13.3360357
"Fisch und Feinkost Vogler";0;NA;"Müllerstr. 46";"Wedding";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.55205;13.35074
"Einhorn";6;"€€";"Mommsenstr. 2";"Charlottenburg";"Vegetarisch";"Deli";NA;NA;52.5030304;13.3209702
"Robert Lindner";0;NA;"Adamstr. 5";"Spandau";"Deli";NA;NA;NA;52.521244;13.1963248
"Fisch Tegel";0;NA;"Gorkistr. 11";"Reinickendorf";"Deli";NA;NA;NA;52.5902;13.28594
"Laggner Jägerstraße";0;NA;"Charlottenstr. 55";"Mitte";"Deli";NA;NA;NA;52.5134004;13.3911098
"Caspian Diamond";0;NA;"Ufnaustr. 12";"Tiergarten";"Deli";NA;NA;NA;52.5301778;13.3165343
"Haase Wurst und Schinken";0;NA;"Brandensteinweg 6";"Spandau";"Deli";"Metzgerei & Fleischerei";NA;NA;52.511728;13.2112566
"W. Manke";0;NA;"Schildower Str. 66";"Reinickendorf";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.6241692;13.3219273
"Alfred Kutsche";0;NA;"Ollenhauerstr. 48";"Reinickendorf";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.57291;13.33191
"Walter Röck";0;NA;"Leydenallee 99";"Steglitz";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.45419;13.32185
"Siegfried Freier";0;NA;"Fenchelweg 66a";"Neukölln";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4365478;13.4785836
"Siefert & Sohn";0;NA;"Schlüterstr. 71";"Charlottenburg";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.5081691;13.3181435
"Fadi Haffar";0;NA;"Selmaplatz 1";"Zehlendorf";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4458289;13.2428017
"Klaus Schulz";0;NA;"Dahlemer Weg 179";"Steglitz";"Supermarkt & Lebensmittel";"Deli";NA;NA;52.4208742;13.2751509
"Charles & Paulin";2;NA;"Breite Str. 39B";"Pankow";"Weinbar";"Französisch";"Deli";NA;52.5705804;13.4096563
"Detlef Grothe";0;NA;"Berliner Str. 87A";"Reinickendorf";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.5867412;13.286932
"Kiwano";0;NA;"Rheinstr. 18";"Schöneberg";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4692761;13.3324861
"Margit Jakob";0;NA;"Krantorweg 1";"Reinickendorf";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.619984;13.2343881
"Günter Schierz";0;NA;"Hohenheimer Str. 14";"Reinickendorf";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.6333589;13.2975297
"Eckhardt Kubatz";0;NA;"Föttingerzeile 41";"Tempelhof";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.41773;13.39352
"Gertrud Schulz";0;NA;"Dahlemer Weg 179A";"Steglitz";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.42064;13.27559
"Norfisk Berlin";0;NA;"Boschweg 6";"Neukölln";"Deli";"Fischmarkt";NA;NA;52.4622808;13.4648446
"Fisch und Feinkost Vogler";0;NA;"Frankfurter Allee 113";"Lichtenberg";"Deli";"Fischmarkt";NA;NA;52.5144784;13.4764938
"Klaus Waldeck";0;NA;"Badener Ring 26";"Tempelhof";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4823571;13.3777656
"Finesse Food";0;NA;"Kietz 23/24";"Köpenick";"Deli";NA;NA;NA;52.44315;13.57682
"Henry Siemering";0;NA;"Nahariyastr. 38";"Tempelhof";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.3930126;13.4204769
"Günter Riemann";0;NA;"Dortmunder Str. 9";"Tiergarten";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.52162;13.33625
"Havelland Home";0;NA;"Gottlieb-Dunkel-Str. 20-21";"Tempelhof";"Deli";NA;NA;NA;52.4573892;13.4092585
"Laggner Wein & Feinkost";0;NA;"Charlottenstr. 56";"Mitte";"Wein";"Bier & Spirituosen";"Deli";NA;52.513363;13.3910945
"Vorkauf Gastro";0;NA;"Pariser Str. 6";"Wilmersdorf";"Deli";"Catering & Partyservice";NA;NA;52.4964424;13.327966
"Abdul Karim Ayna";0;NA;"Donaustr. 116";"Neukölln";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4837216;13.4333393
"Zack-Snack";0;NA;"Grunewaldstr. 70";"Schöneberg";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4892293;13.3481497
"Siegfried Kahm";0;NA;"Kienitzer Str. 111";"Schillerkiez";"Supermarkt & Lebensmittel";"Deli";NA;NA;52.4755606;13.423433
"Käfer Service Party Service";0;NA;"Alt-Moabit 134";"Tiergarten";"Deli";"Catering & Partyservice";NA;NA;52.5228433;13.3612205
"Lotte Pöhle";0;NA;"Niemetzstr. 16";"Neukölln";"Deli";"Gemüse & Obst";NA;NA;52.4724704;13.4505363
"Manuel Teixeina daSilva";0;NA;"Kantstr. 34";"Charlottenburg";"Deli";NA;NA;NA;52.5063595;13.3161746
"Lutz Behrendt";0;NA;"Breisgauer Str. 11";"Zehlendorf";"Wein";"Bier & Spirituosen";"Deli";NA;52.4377436;13.2161406
"Feinschmecker Feinkost";0;NA;"Zerpenschleuser Ring 1";"Reinickendorf";"Deli";NA;NA;NA;52.6036496;13.3698177
"Feinkost Casdorf Import Großhandel Handelsvertretungen";0;NA;"Waidmannsluster Damm 152";"Reinickendorf";"Deli";NA;NA;NA;52.605631;13.3156702
"Fisch und Feinkost Vogler";0;NA;"Senftenberger Ring 15";"Reinickendorf";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.5990559;13.3550537
"Obstquelle Alkan";0;NA;"Heesestr. 1";"Steglitz";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4554907;13.3258885
"La Gatta";0;NA;"Selchower Str. 33";"Schillerkiez";"Italienisch";"Eisdiele & Frozen Yogurt";"Deli";NA;52.478926;13.4245773
"Supergood Gastro";3;"€€€";"Friedrichstr. 103";"Mitte";"Catering & Partyservice";"Deli";NA;NA;52.5214614;13.3887194
"Aleksandar Petrovic";0;NA;"Prühßstr. 48";"Tempelhof";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4431169;13.3853511
"L A L Loch an Loch Käsevertriebs-GmbH";0;NA;"Lorenzstr. 61";"Steglitz";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4272225;13.3312805
"Fabulous Fruits Lieferservice";0;NA;"Beusselstr. 44n q";"Tiergarten";"Deli";"Gemüse & Obst";NA;NA;52.5348934;13.3212635
"Biagio Russo";0;NA;"Oberhofer Weg 13";"Steglitz";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4266499;13.3272768
"The Sixties Diner";13;NA;"Oranienburger Str. 11";"Mitte";"Diner";NA;NA;NA;52.5237745;13.3994368
"Cruise-In";49;"€€";"Päwesiner Weg 25a";"Spandau";"Diner";NA;NA;NA;52.5326673;13.1786585
"Annas Diner";2;"€";"Tempelhofer Weg 3";"Tempelhof";"Diner";NA;NA;NA;52.46009;13.41968
"Andy’s Diner & Bar";51;"€€";"Messedamm 10";"Charlottenburg";"Diner";NA;NA;NA;52.5069919;13.280154
"BouJEE";1;NA;"Pariser Str. 18";"Wilmersdorf";"Diner";"Modern-Europäisch";NA;NA;52.4983045;13.3191022
"Focacceria Naturale Frutteria";5;"€";"Kastanienallee 4";"Prenzlauer Berg";"Italienisch";"Diner";NA;NA;52.5403891;13.4110258
"wilde Oscar";2;NA;"Niebuhrstr. 59";"Charlottenburg";"Dinner-Show";NA;NA;NA;52.504363;13.3098806
"Wilde Matilde";11;NA;"Rathausstr. 23";"Mitte";"Dinner-Show";"Cocktailbar";NA;NA;52.5172685;13.4052828
"Palazzo - Vorübergehend GESCHLOSSEN";6;"€€€";"Hertzallee 41";"Tiergarten";"Dinner-Show";NA;NA;NA;52.5092018;13.3329001
"Umspannwerk-Ost";74;"€€€";"Palisadenstr. 48";"Friedrichshain";"Eventlocation & Tagungsstätte";"Dinner-Show";NA;NA;52.5179528;13.4398375
"Cafe MokannTi";3;NA;"Lettestr. 9";"Prenzlauer Berg";"Äthiopisch";"Café";"Eritreisch";NA;52.5438787;13.4183748
"Langano";63;"€€";"Kohlfurter Str. 44";"Kreuzberg";"Äthiopisch";NA;NA;NA;52.4965637;13.4183575
"Muday Äthiopisches Restaurant";9;NA;"Grünberger Str. 33";"Friedrichshain";"Äthiopisch";NA;NA;NA;52.5124376;13.4538023
"Lalibela";4;NA;"Herrfurthstr. 32";"Schillerkiez";"Äthiopisch";NA;NA;NA;52.4773525;13.4252119
